    RA(°)      Dec      Pos      Distance(kpc)  
      9.17171     -72.8099      -76.632599       1.0771748
      9.18158     -71.9950      -45.576971       1.5304796
      9.18637     -73.0258      -88.247592       1.0313817
      9.19513     -72.4614      -60.480255       1.2198307
      9.20983     -73.2460      -100.65197       1.0288200
      9.22558     -73.1247      -93.814269       1.0158354
      9.25625     -72.4281      -58.684845       1.2229787
      9.26867     -73.1479      -95.156102       1.0036961
      9.27050     -72.5211      -62.357571       1.1685143
      9.27821     -72.2053      -50.677503       1.3584574
      9.29525     -72.3054      -53.834674       1.2881367
      9.29750     -73.1211      -93.617480      0.99471203
      9.33962     -73.1314      -94.228486      0.98248767
      9.34371     -72.3921      -56.570118       1.2224437
      9.35733     -73.0649      -90.294919      0.97837335
      9.37037     -72.8767      -79.359613       1.0022733
      9.38150     -72.6144      -65.698340       1.0931878
      9.38854     -73.0388      -88.716343      0.97087974
      9.38996     -73.0951      -92.070056      0.96772707
      9.39754     -72.7577      -72.741041       1.0299312
      9.39754     -73.1864      -97.538415      0.96817597
      9.40692     -72.0684      -45.498603       1.4283500
      9.42679     -73.0193      -87.489986      0.96137525
      9.43858     -72.5238      -61.146260       1.1235440
      9.45829     -72.8258      -76.111536      0.99064845
      9.50137     -71.9419      -41.389556       1.5066609
      9.52567     -73.3796      -109.32960      0.96660720
      9.54558     -73.0563      -89.589237      0.92351576
      9.57671     -72.2106      -48.088841       1.2880898
      9.58625     -72.1019      -44.732090       1.3658766
      9.59542     -72.8787      -78.513947      0.93684090
      9.61204     -73.3053      -105.29374      0.92375962
      9.61633     -73.0023      -86.072858      0.90760938
      9.68167     -72.6306      -64.158715       1.0055564
      9.68575     -73.1476      -95.427386      0.88160976
      9.68996     -73.0180      -86.923198      0.88424311
      9.70112     -72.6470      -64.834998      0.99252668
      9.71046     -72.0646      -42.475609       1.3692716
      9.71217     -72.4247      -54.493382       1.1130926
      9.71850     -72.8594      -76.741544      0.90664907
      9.73383     -72.2906      -49.199538       1.1970662
      9.73442     -72.8917      -78.669147      0.89355863
      9.73746     -71.7473      -35.007874       1.6244766
      9.74488     -73.2890      -104.78438      0.88256781
      9.74517     -72.5769      -60.957666       1.0163198
      9.75504     -73.0946      -91.925261      0.86048904
      9.76442     -72.9939      -85.167669      0.86528495
      9.77896     -72.4527      -54.998961       1.0796579
      9.81675     -72.7949      -72.230731      0.89927785
      9.82246     -72.7490      -69.472590      0.91498033
      9.82854     -72.8252      -74.005608      0.88568572
      9.82888     -72.6932      -66.254605      0.93696645
      9.86400     -73.3814      -111.26121      0.87385755
      9.87258     -72.1422      -42.988273       1.2767960
      9.88554     -73.4334      -114.60614      0.88618311
      9.89346     -72.4194      -52.437596       1.0737062
      9.92171     -72.9553      -82.059532      0.82549208
      9.92404     -71.7857      -33.938628       1.5604031
      9.92625     -73.1143      -93.283027      0.81017093
      9.93471     -72.2623      -46.107872       1.1736749
      9.97079     -72.5375      -56.876952      0.98167153
      9.97292     -72.7823      -70.351623      0.86042705
      9.98429     -72.7518      -68.384540      0.86946225
      9.98579     -72.9138      -78.920982      0.81570666
      10.0014     -73.2109      -100.34824      0.79538619
      10.0036     -72.4365      -51.969854       1.0369256
      10.0064     -72.6770      -63.804858      0.89722876
      10.0394     -73.4518      -116.88230      0.85276851
      10.0527     -71.8405      -33.715256       1.4920287
      10.0612     -71.7308      -31.557899       1.5865337
      10.0911     -73.4483      -117.08532      0.83777995
      10.0960     -73.1743      -97.885341      0.76368617
      10.1188     -72.0452      -37.642894       1.3074987
      10.1446     -72.0542      -37.583449       1.2954750
      10.1509     -72.8461      -73.234377      0.78791500
      10.1646     -72.0917      -38.345727       1.2609827
      10.1681     -71.1651      -23.087417       2.0919857
      10.1798     -72.9179      -78.201304      0.75881804
      10.1964     -73.4593      -118.67845      0.81514521
      10.1978     -73.1269      -94.364624      0.73083078
      10.2273     -72.7164      -64.020895      0.81991214
      10.2507     -72.5177      -52.813977      0.92655447
      10.2671     -72.2829      -42.970872       1.0896703
      10.2745     -71.9808      -34.324823       1.3348514
      10.2846     -72.1272      -37.916785       1.2101387
      10.3299     -72.9709      -81.546985      0.70382048
      10.3313     -70.2753      -15.852361       2.9366325
      10.3338     -72.0701      -35.802459       1.2489834
      10.3602     -72.4195      -47.021790      0.96882581
      10.3636     -72.5624      -53.678256      0.87151863
      10.3691     -73.2815      -107.32008      0.70439425
      10.3710     -70.8380      -18.764141       2.3840375
      10.3725     -73.2204      -102.38593      0.68990436
