    RA(°)      Dec      Pos      Distance(kpc)  
      17.3059     -74.2390       133.74638       1.7544827
      17.2745     -74.2393       133.93416       1.7480594
      17.7826     -74.3881       134.77077       1.9508807
      17.1857     -74.5383       141.29442       1.9378176
      18.3548     -74.6086       136.66630       2.2131520
      17.6051     -74.4451       136.97577       1.9523867
      18.4382     -74.4003       131.92945       2.0986582
      18.0909     -74.4388       134.37509       2.0480071
      18.2237     -74.1902       127.89567       1.9300035
      18.6001     -74.3479       130.05612       2.1039293
      18.6655     -74.2591       127.72574       2.0697948
      18.9261     -74.3153       128.00585       2.1603169
      19.0694     -74.1710       124.09995       2.1214965
      19.4494     -74.5237       130.50437       2.3942163
      19.4843     -74.5900       131.68597       2.4399700
      18.5758     -74.6556       136.58788       2.2889718
      18.0175     -74.2484       130.29417       1.9157643
      18.4295     -74.1192       125.20942       1.9415066
      18.0375     -74.1611       127.98622       1.8709572
      18.1944     -74.1089       125.92092       1.8800841
      17.9194     -74.1369       127.89888       1.8303322
      17.8802     -73.8550       119.93081       1.6827169
      18.1218     -73.8115       117.65817       1.7272804
      17.5069     -73.7191       116.94998       1.5311297
      17.5634     -73.8473       121.02935       1.5990575
      19.2945     -73.8778       115.96829       2.0590448
      18.8700     -73.8511       116.41458       1.9378550
      18.2024     -74.0337       123.85185       1.8444483
      18.5138     -74.0571       123.24827       1.9318846
      18.7044     -73.9225       118.91745       1.9215503
      18.0325     -74.0747       125.70454       1.8238754
      17.5406     -74.1868       131.10706       1.7730357
      17.6658     -73.9130       122.65052       1.6548840
      17.1634     -74.0436       129.18276       1.6039260
      17.3612     -74.2885       134.67464       1.7981265
      17.0434     -74.1269       132.28205       1.6272278
      17.1677     -73.7560       119.74547       1.4584470
      16.3429     -73.9522       131.55723       1.3651820
      16.5141     -74.0061       132.09888       1.4363731
      16.4437     -73.8293       126.53600       1.3160846
      17.2049     -73.9008       124.51389       1.5360507
      17.2071     -73.8749       123.65029       1.5235874
      17.2543     -73.7341       118.55803       1.4713886
      16.9647     -73.4952       110.39861       1.3100604
      16.8365     -73.5335       112.51039       1.2865332
      16.2962     -73.7008       122.46156       1.2134837
      16.2527     -73.6491       120.53016       1.1779941
      17.2593     -73.8592       122.86414       1.5287731
      17.5534     -73.8828       122.21649       1.6128309
      17.7010     -73.8857       121.64441       1.6509895
      17.8893     -74.0180       124.76176       1.7607115
      18.1712     -73.7177       114.53809       1.7065744
      18.2938     -73.8186       117.27722       1.7748419
      18.1828     -73.7792       116.44363       1.7311429
      18.2315     -73.5280       108.11983       1.6700416
      17.8078     -73.6085       112.00185       1.5739759
      17.5997     -73.5918       112.05372       1.5122798
      17.1457     -73.3756       104.77162       1.3327845
      17.0322     -73.3791       105.19238       1.3012286
      17.5003     -73.1790       96.077941       1.4148449
      16.3536     -73.2238       99.094699       1.0833181
      15.9489     -73.2357       100.50679      0.96741718
      16.1659     -73.3449       106.05854       1.0488474
      15.8818     -73.4582       113.49616       1.0028351
      16.3955     -73.5713       116.23179       1.1818270
      15.7869     -73.6213       122.49327       1.0479198
      16.3496     -73.8282       127.13256       1.2933343
      16.5387     -73.8007       124.85567       1.3234437
      15.1303     -73.6454       129.74000      0.90512913
      15.9590     -73.5500       117.79044       1.0589015
      16.1773     -73.6398       120.60009       1.1546180
      15.7229     -73.6602       124.84878       1.0523747
      16.1911     -73.4437       111.13560       1.0821597
      16.4765     -73.4649       110.91417       1.1669161
      16.8821     -73.3572       104.58192       1.2544243
      16.5841     -73.3347       104.26933       1.1654400
      17.2951     -73.4249       106.47755       1.3848350
      17.0077     -73.6507       116.55636       1.3738131
      16.4825     -73.5911       116.65503       1.2125195
      16.8639     -73.8217       123.67922       1.4131723
