    pmRA(mas/yr)      pmDec      errpmRA      errpmDec      Distance(kpc)      PositionAngle(°)  
      0.70236337     -0.90169460    0.0117904     0.266121      0.95430375       135.17682
      0.66675739     -0.91778031     0.221996     0.132510       1.0550709       144.02124
      0.66661420     -0.91469199     0.112255    0.0197280       1.1527158       143.68652
      0.70409285     -0.93323065     0.165040   0.00832592       1.3825475       146.68749
      0.69899770     -0.91285049    0.0616152     0.107284       1.4246872       143.94459
      0.68753333     -0.84484075     0.306693    0.0555618       1.4855805       140.96296
      0.68811983     -0.84601454    0.0205825    0.0238221       1.3803871       145.88534
      0.68634268     -0.85545922     0.114274     0.162540       1.5344787       146.75915
      0.69791772     -0.88177488     0.122935   0.00999673       1.6089720       142.72812
      0.71664057     -0.83450101     0.108571    0.0120465       1.5915277       137.08518
      0.68617157     -0.81679735    0.0985664    0.0472651       1.4953395       134.91765
      0.68479413     -0.86921834    0.0266104    0.0199012       1.8180504       146.99465
      0.69742077     -0.85637579    0.0551068    0.0838599       1.4870527       135.93458
      0.66416918     -0.85408055    0.0715369     0.192997       1.3683914       138.79302
      0.68983677     -0.83197964     0.109995     0.182463       1.5261671       129.51151
      0.67519124     -0.87002072     0.263035    0.0250047       1.4755814       132.19838
      0.66437705     -0.82379158    0.0134369    0.0858700       1.4303187       136.97171
      0.70329415     -0.82650695    0.0894034     0.213366       1.4524517       139.94782
      0.67446455     -0.87213102     0.201984     0.200784       1.6410184       147.20558
      0.63529193     -0.86879852     0.211075     0.230086       1.2851746       159.75064
      0.68109025     -0.90816610     0.145942    0.0669765       1.3504992       160.08971
      0.66415789     -0.90680044    0.0329273     0.180075       1.2786702       162.90353
      0.67821964     -0.94233934     0.278247    0.0202637       1.2541228       155.44859
      0.68629318     -0.86997220    0.0406249    0.0935586       1.0579923       148.80522
      0.67342903     -0.85456156    0.0820926   0.00537785       1.1232416       139.00422
      0.64707000     -0.89138269     0.184048    0.0123796       1.2456131       149.43890
      0.65001798     -0.89196660     0.121531    0.0232707       1.2622297       159.15696
      0.60022469     -0.91619210    0.0563114    0.0506482       1.0220354       170.29354
      0.65410019     -0.85034502   0.00133864     0.105026       1.0396055       158.81730
      0.66526322     -0.85649618     0.161830    0.0702285       1.1451027       166.17829
      0.60817416     -0.90758563    0.0150415     0.211778       1.0537230       167.04880
      0.66662288     -0.89154345     0.109435    0.0264744       1.2740819       176.29484
      0.64654828     -0.85674992    0.0415361     0.285094       1.2885515       166.37627
      0.64190083     -0.87401221     0.260273    0.0204588       1.2430441       167.30207
      0.63947432     -0.86775679     0.106510     0.229929       1.4111778       166.11774
      0.66409569     -0.85303388    0.0176404     0.124671       1.5859573       170.30446
      0.63570148     -0.87802540    0.0349878     0.124058       1.2126968       157.68719
      0.62474537     -0.85130396    0.0409857     0.114970       1.0700940       153.26228
      0.64228977     -0.88432602     0.116392    0.0113197       1.0944654       148.48334
      0.64862247     -0.84774855    0.0426587     0.279522      0.97271928       151.30821
      0.64753192     -0.89757193    0.0186934     0.196006      0.78196677       123.98144
      0.64001200     -0.88315384     0.367641    0.0653253      0.93464027       125.59148
      0.67158105     -0.83811965    0.0488900     0.293792      0.88470078       124.49118
      0.66871476     -0.80996258     0.223210     0.161404       1.0031061       126.64375
      0.66258335     -0.84583267    0.0810677    0.0509689       1.0859172       136.81503
      0.65693830     -0.87898982    0.0872293    0.0468030       1.3226890       141.93846
      0.64888720     -0.80193860    0.0388946    0.0984342       1.2166588       146.59190
      0.64444110     -0.86098495     0.113461    0.0732643      0.90833611       138.84082
      0.62927696     -0.91142378     0.122457    0.0858000      0.79175245       156.25702
      0.65589006     -0.87543025    0.0527470   0.00884028      0.80067449       156.25386
      0.67401221     -0.86249271    0.0355771     0.122874      0.90290219       137.71691
      0.62207158     -0.92020051     0.259648    0.0258401      0.67781612       126.66407
      0.65061521     -0.84117593     0.175518    0.0376155      0.71617664       124.09294
      0.70528070     -0.86084757     0.159698    0.0838496      0.88361960       125.98918
      0.65565328     -0.86669301     0.116932    0.0195464      0.72332574       133.38724
      0.65302540     -0.89273703     0.126550     0.181207      0.69419853       132.91246
      0.64914353     -0.85533373    0.0159304     0.135322      0.62697707       141.26720
      0.67272723     -0.82588263     0.119174     0.193311      0.58014755       162.50871
      0.66892424     -0.84340320    0.0635812    0.0152679      0.73130648       150.67743
      0.64313168     -0.90613449    0.0301221    0.0229885      0.76143008       162.91281
      0.63581711     -0.86037401    0.0270358     0.178241      0.79078249       175.07464
      0.63078840     -0.93041446    0.0188285    0.0186434      0.59654532       178.85964
      0.61059497     -0.90819198     0.171860     0.106044      0.70063032       164.78305
      0.54059234     -0.88732837     0.154057     0.213225      0.64666550       172.63314
      0.61504287     -0.87991262    0.0285436    0.0775233      0.37815405      -179.70093
      0.62852672     -0.91206438    0.0445385     0.219238      0.41076053       143.43351
      0.60602933     -0.93521097     0.122021     0.116878      0.17758807       131.59986
      0.66424400     -0.89066000    0.0838306    0.0680955      0.42142875       100.55791
      0.65748631     -0.86876381     0.185955    0.0879172      0.38487002       91.208208
      0.66872435     -0.91588939     0.121885    0.0740516      0.68299402       139.19805
      0.63658501     -0.88025478     0.129406     0.174245      0.48676910       159.78716
      0.61624370     -0.89431905    0.0360823    0.0865981      0.22325773      -167.60651
      0.66010323     -0.89901088     0.164293    0.0292226      0.28769833       134.93904
      0.66448706     -0.90916320     0.200627     0.158478      0.20790652       89.730756
      0.65153123     -0.89799025     0.210830    0.0161569      0.25291346       133.80022
      0.62150966     -0.90017857     0.104119    0.0522616      0.14728131       132.74176
      0.59713689     -0.92702099    0.0749401    0.0674901      0.45710239      -146.62317
      0.60189927     -0.90569505    0.0363538    0.0251117      0.29292487      -99.174717
      0.60758535     -0.90462006    0.0618749     0.197675      0.71801777      -161.92888
      0.63660316     -0.91094325     0.219648     0.140991      0.66425880      -168.79273
      0.62963719     -0.94444891     0.197440     0.133935       1.0640904      -165.29740
      0.64410148     -0.96876249    0.0811726    0.0326886      0.91831422      -165.76161
      0.59354129     -0.95029248    0.0753027    0.0520252      0.98717371      -169.25702
