 0.244362494E+00 -0.605972983E+00 -0.511308434E+02 -0.609514470E+02  0.795577906E+02 -0.226879810E+01  0.724500656E+00  0.235076491E-01  0.191061001E+02  0.180877000E-01  0.362845591E-01  0.346268118E-01  0.383345417E-01  0.328021742E-01  0.400998129E-01  0.963715441E+00  0.961640620E+00  0.965354644E+00  0.959885864E+00  0.967172347E+00
 0.243091238E+00 -0.604315213E+00 -0.547854599E+02 -0.552887793E+02  0.778350546E+02 -0.235162198E+01  0.690000534E+00  0.125739053E-01  0.183113995E+02  0.100113004E-01  0.394223051E-01  0.376279149E-01  0.416396976E-01  0.356527404E-01  0.435496688E-01  0.960577695E+00  0.958334599E+00  0.962351281E+00  0.956436846E+00  0.964320770E+00
 0.243865284E+00 -0.604559964E+00 -0.525863873E+02 -0.561068228E+02  0.768980084E+02 -0.232381707E+01  0.556600571E+00  0.961937940E-02  0.180417004E+02  0.823242030E-02  0.412674906E-01  0.393932236E-01  0.435826439E-01  0.373300327E-01  0.455771353E-01  0.958732509E+00  0.956391214E+00  0.960584609E+00  0.954409983E+00  0.962642949E+00
 0.244322452E+00 -0.604249125E+00 -0.513036849E+02 -0.550243970E+02  0.752313256E+02 -0.232121601E+01  0.522800446E+00  0.513861254E-01  0.203054008E+02  0.505172014E-01  0.448155033E-01  0.427886349E-01  0.473172177E-01  0.405572542E-01  0.494730428E-01  0.955184497E+00  0.952655940E+00  0.957186507E+00  0.950515461E+00  0.959414847E+00
 0.235674205E+00 -0.601151210E+00 -0.759378131E+02 -0.446832255E+02  0.881086948E+02 -0.260973238E+01  0.760499954E+00  0.169462189E-01  0.188202000E+02  0.127106002E-01  0.245534535E-01  0.234142924E-01  0.259627082E-01  0.221623203E-01  0.271759618E-01  0.975446547E+00  0.974019024E+00  0.976574893E+00  0.972808907E+00  0.977817351E+00
 0.236833022E+00 -0.601748392E+00 -0.726218292E+02 -0.466880797E+02  0.863348532E+02 -0.257022967E+01  0.392200470E+00  0.516075157E-01  0.204981995E+02  0.544884987E-01  0.265517600E-01  0.253233847E-01  0.280718273E-01  0.239727513E-01  0.293803522E-01  0.973448240E+00  0.971908163E+00  0.974664571E+00  0.970604376E+00  0.976005880E+00
 0.237456113E+00 -0.601017666E+00 -0.708901639E+02 -0.441499962E+02  0.835142952E+02 -0.258458097E+01  0.439701080E+00  0.578436442E-01  0.204787998E+02  0.541571006E-01  0.301573030E-01  0.287691768E-01  0.318758960E-01  0.272416764E-01  0.333550410E-01  0.969842697E+00  0.968101416E+00  0.971216466E+00  0.966629733E+00  0.972735253E+00
 0.237431610E+00 -0.600809128E+00 -0.709696268E+02 -0.434338803E+02  0.832057082E+02 -0.259239151E+01  0.814199448E+00  0.160754751E-01  0.185762997E+02  0.113163004E-01  0.305871768E-01  0.291801080E-01  0.323293184E-01  0.276316183E-01  0.338286966E-01  0.969412823E+00  0.967647822E+00  0.970805251E+00  0.966156108E+00  0.972345123E+00
 0.235084003E+00 -0.600575751E+00 -0.776419225E+02 -0.427299913E+02  0.886234748E+02 -0.263848315E+01  0.491901398E+00  0.449260138E-01  0.203922005E+02  0.466379002E-01  0.240084050E-01  0.228936620E-01  0.253873376E-01  0.216686796E-01  0.265745174E-01  0.975991595E+00  0.974594865E+00  0.977095852E+00  0.973410412E+00  0.978311288E+00
 0.235760949E+00 -0.599739853E+00 -0.757636891E+02 -0.398262568E+02  0.855936173E+02 -0.265762513E+01  0.466400147E+00  0.241075177E-01  0.195984993E+02  0.233242996E-01  0.274456269E-01  0.261775014E-01  0.290150807E-01  0.247828830E-01  0.303660578E-01  0.972554373E+00  0.970964121E+00  0.973809892E+00  0.969618646E+00  0.975195306E+00
