 0.265162863E+01 -0.374858501E-01 -0.800838822E+02 -0.320027597E+02  0.862415493E+02 -0.276141780E+01  0.327999115E+00  0.206628609E-01  0.201910000E+02  0.171729997E-01  0.284950980E-02  0.249228085E-02  0.321907995E-02  0.220453961E-02  0.363713979E-02  0.997150490E+00  0.996777458E+00  0.997504583E+00  0.996337513E+00  0.997786198E+00
 0.265058958E+01 -0.366665107E-01 -0.836574977E+02 -0.291882114E+02  0.886032087E+02 -0.280589695E+01  0.655099869E+00  0.202482771E-01  0.196459007E+02  0.927000030E-02  0.256381288E-02  0.224209394E-02  0.289679146E-02  0.198261207E-02  0.327418370E-02  0.997436187E+00  0.997100207E+00  0.997755233E+00  0.996703008E+00  0.998008650E+00
 0.265076961E+01 -0.364532051E-01 -0.830391330E+02 -0.284541054E+02  0.877788911E+02 -0.281147262E+01  0.466499329E+00  0.117486790E-01  0.193390999E+02  0.728299980E-02  0.265930553E-02  0.232571135E-02  0.300452391E-02  0.205677258E-02  0.339553310E-02  0.997340694E+00  0.996992323E+00  0.997671456E+00  0.996580810E+00  0.997934306E+00
 0.265101604E+01 -0.363945274E-01 -0.821921190E+02 -0.282515730E+02  0.869120003E+02 -0.281051799E+01  0.753299713E+00  0.152134737E-01  0.193012009E+02  0.994400030E-02  0.276454759E-02  0.241787300E-02  0.312324458E-02  0.213852509E-02  0.352923289E-02  0.997235452E+00  0.996873432E+00  0.997579114E+00  0.996446175E+00  0.997852361E+00
 0.265223777E+01 -0.378602036E-01 -0.779892685E+02 -0.332883343E+02  0.847964575E+02 -0.273817110E+01  0.102649879E+01  0.296188610E-02  0.166478996E+02  0.118900000E-02  0.304394520E-02  0.266258749E-02  0.343838006E-02  0.235567037E-02  0.388399689E-02  0.996956055E+00  0.996557833E+00  0.997334240E+00  0.996088929E+00  0.997634749E+00
 0.265249230E+01 -0.378987731E-01 -0.771143290E+02 -0.334202249E+02  0.840448165E+02 -0.273264098E+01  0.402400971E+00  0.397911035E-01  0.203855000E+02  0.210970007E-01  0.315158322E-02  0.275689096E-02  0.355978285E-02  0.243937620E-02  0.402061608E-02  0.996848417E+00  0.996436247E+00  0.997239797E+00  0.995951353E+00  0.997550879E+00
 0.265186492E+01 -0.372286639E-01 -0.792722722E+02 -0.311176039E+02  0.851610146E+02 -0.276753308E+01  0.116309929E+01  0.470101090E-02  0.163220005E+02  0.997000000E-03  0.299338396E-02  0.261829338E-02  0.338135020E-02  0.231635898E-02  0.381980951E-02  0.997006616E+00  0.996614948E+00  0.997378542E+00  0.996153565E+00  0.997674140E+00
 0.265250227E+01 -0.375933611E-01 -0.770807149E+02 -0.323699069E+02  0.836017194E+02 -0.274400870E+01  0.671400070E+00  0.707492790E-02  0.183080997E+02  0.445300010E-02  0.321725471E-02  0.281443095E-02  0.363384745E-02  0.249045704E-02  0.410395040E-02  0.996782745E+00  0.996362069E+00  0.997182170E+00  0.995867436E+00  0.997499703E+00
 0.265188185E+01 -0.362677478E-01 -0.792162033E+02 -0.278130489E+02  0.839569684E+02 -0.280393552E+01  0.583000183E+00  0.536235840E-02  0.180352993E+02  0.303600010E-02  0.316446990E-02  0.276818176E-02  0.357431681E-02  0.244939913E-02  0.403696987E-02  0.996835530E+00  0.996421691E+00  0.997228490E+00  0.995934885E+00  0.997540837E+00
 0.265291714E+01 -0.365391301E-01 -0.756569794E+02 -0.287433734E+02  0.809330591E+02 -0.277851816E+01  0.980499268E+00  0.447479170E-02  0.170877991E+02  0.147800000E-02  0.365085231E-02  0.319442108E-02  0.412277389E-02  0.282792243E-02  0.465382157E-02  0.996349148E+00  0.995872374E+00  0.996801588E+00  0.995313715E+00  0.997161690E+00
 0.265318236E+01 -0.362239739E-01 -0.747460351E+02 -0.276588888E+02  0.796993343E+02 -0.278717913E+01  0.536499023E+00  0.512658010E-02  0.177833996E+02  0.218000010E-02  0.387568481E-02  0.339157149E-02  0.437631614E-02  0.300309681E-02  0.493880328E-02  0.996124315E+00  0.995618418E+00  0.996604122E+00  0.995026737E+00  0.996986285E+00
 0.265096410E+01 -0.361470050E-01 -0.823712429E+02 -0.274005095E+02  0.868090409E+02 -0.282046033E+01  0.626600266E+00  0.461069030E-02  0.172437000E+02  0.167200000E-02  0.277738836E-02  0.242911833E-02  0.313772914E-02  0.214850132E-02  0.354554308E-02  0.997222612E+00  0.996858927E+00  0.997567847E+00  0.996429751E+00  0.997842362E+00
 0.265106539E+01 -0.361075183E-01 -0.820231550E+02 -0.272644162E+02  0.864357932E+02 -0.282068322E+01  0.376998901E+00  0.347265825E-01  0.202735004E+02  0.176769998E-01  0.282456455E-02  0.247043390E-02  0.319094305E-02  0.218515606E-02  0.360546058E-02  0.997175435E+00  0.996805636E+00  0.997526449E+00  0.996369414E+00  0.997805625E+00
 0.265166244E+01 -0.353232843E-01 -0.799725601E+02 -0.245657901E+02  0.836605547E+02 -0.284356386E+01  0.899099350E+00  0.533118800E-02  0.173064995E+02  0.179600010E-02  0.320843750E-02  0.280670532E-02  0.362390359E-02  0.248359834E-02  0.409276257E-02  0.996791562E+00  0.996372028E+00  0.997189907E+00  0.995878702E+00  0.997506574E+00
 0.265104927E+01 -0.345948698E-01 -0.820820773E+02 -0.220626124E+02  0.849954485E+02 -0.287901155E+01  0.376699448E+00  0.498476736E-01  0.202425995E+02  0.233709998E-01  0.301621668E-02  0.263829542E-02  0.340710394E-02  0.233411055E-02  0.384879622E-02  0.996983783E+00  0.996589156E+00  0.997358537E+00  0.996124376E+00  0.997656352E+00
 0.265113855E+01 -0.345030059E-01 -0.817753786E+02 -0.217464527E+02  0.846174967E+02 -0.288167899E+01  0.527500153E+00  0.395143442E-01  0.204902000E+02  0.203300007E-01  0.306915356E-02  0.268467220E-02  0.346681298E-02  0.237527195E-02  0.391599601E-02  0.996930846E+00  0.996529357E+00  0.997312125E+00  0.996056706E+00  0.997615108E+00
 0.265139001E+01 -0.346738876E-01 -0.809105294E+02 -0.223333815E+02  0.839362478E+02 -0.287227315E+01  0.856201172E+00  0.270072980E-02  0.162961006E+02  0.877000000E-03  0.316751900E-02  0.277085328E-02  0.357775565E-02  0.245177069E-02  0.404083923E-02  0.996832481E+00  0.996418247E+00  0.997225814E+00  0.995930989E+00  0.997538461E+00
 0.265193124E+01 -0.349391534E-01 -0.790493953E+02 -0.232440778E+02  0.823959590E+02 -0.285560810E+01  0.716800690E+00  0.568033290E-02  0.173782997E+02  0.321800010E-02  0.340476530E-02  0.297874066E-02  0.384530216E-02  0.263635119E-02  0.434181524E-02  0.996595235E+00  0.996150287E+00  0.997017607E+00  0.995627906E+00  0.997353555E+00
