    RA(°)      Dec      Pos      Distance(kpc)  
      14.8067     -72.9007       74.336411      0.65501645
      14.8848     -72.8024       67.283662      0.71280124
      14.5213     -72.6943       54.904469      0.67508054
      14.3304     -72.5524       43.104343      0.73012560
      14.5781     -72.8173       65.028271      0.62377132
      15.2341     -72.5353       55.033478      0.94357914
      15.6055     -72.7027       67.322656      0.95105171
      14.9647     -72.7550       64.749285      0.75537488
      15.4500     -72.8040       72.111340      0.86810384
      14.3776     -72.7259       54.884523      0.62134102
      13.8237     -72.7078       42.053825      0.51127645
      14.5526     -72.4906       43.749948      0.82161753
      14.4685     -72.3254       35.731821      0.93760845
      14.6215     -72.4276       42.004295      0.88338181
      15.1224     -72.5333       53.653339      0.91813613
      14.1074     -72.6690       45.784565      0.59799651
      14.2011     -72.6900       49.107824      0.60353347
      13.7916     -72.5407       31.480487      0.64330665
      13.6000     -72.5905       29.027698      0.57107003
      13.1710     -72.4834       13.685217      0.62688319
      13.2991     -72.4713       16.793403      0.64862222
      13.9898     -72.6555       42.362628      0.58400564
      13.4083     -72.6655       27.219879      0.47715418
      13.1713     -72.7163       21.402952      0.40142797
      13.1649     -72.7086       20.760212      0.40800541
      13.1672     -73.0298       68.209746      0.15367241
      12.6917     -72.7485      0.42124100      0.34181221
      13.1850     -72.6167       17.707377      0.49789205
      13.4134     -72.5752       23.193018      0.56086893
      12.6893     -72.6759      0.24778308      0.41513802
      12.8683     -72.4927       5.3516561      0.60279500
      12.4485     -72.3047      -5.2148638      0.79334221
      12.9811     -72.2700       6.3381814      0.83015081
      13.1622     -72.3998       11.912387      0.70883236
      12.8475     -72.4826       4.6762603      0.61248462
      13.6427     -72.2961       20.306678      0.84935663
      14.0701     -72.2800       27.759253      0.91558621
      13.9696     -72.3159       27.003504      0.86946236
      13.4506     -72.4652       20.444309      0.66870756
      13.2940     -72.5323       18.323307      0.58915172
      12.0062     -72.1649      -12.694523      0.95356148
      12.1372     -72.0894      -9.5657658       1.0211602
      12.2290     -72.2871      -9.8126163      0.81941886
      11.7013     -72.3596      -22.323883      0.79159585
      11.7962     -72.5693      -27.265560      0.58604147
      12.9043     -71.6892       2.8450539       1.4136663
      10.7086     -71.3433      -20.025728       1.8638152
      10.7076     -71.3773      -20.369720       1.8312553
      10.5278     -71.2626      -20.915085       1.9596519
      10.7146     -71.7526      -24.962988       1.4756686
      10.9062     -71.6677      -21.612132       1.5332119
      10.5615     -71.6080      -24.528109       1.6291628
      11.4822     -71.7233      -15.484010       1.4256079
      11.5359     -71.6876      -14.482843       1.4565453
      11.6373     -71.6954      -13.311809       1.4416287
      11.4560     -71.9028      -17.902702       1.2530407
      11.2603     -71.5664      -16.540831       1.5968717
      11.1384     -71.3699      -16.094422       1.7987493
      11.5679     -71.5153      -12.708874       1.6243219
      11.5445     -71.5220      -13.016291       1.6191923
      11.1368     -71.5350      -17.584941       1.6381021
      11.5242     -71.5650      -13.573093       1.5780855
      11.4280     -71.5021      -14.143796       1.6468843
      11.3274     -71.4115      -14.507483       1.7433147
      10.9910     -71.3059      -17.008897       1.8735915
      11.4411     -71.3988      -13.241968       1.7478647
      12.1205     -71.2666      -5.6743150       1.8472932
      11.8258     -71.1582      -8.1806181       1.9666422
      11.5581     -71.2661      -11.247704       1.8721442
      11.2312     -70.9578      -12.580254       2.1980172
      12.2943     -71.0407      -3.5361790       2.0708445
      12.9357     -70.9222       2.1836742       2.1884887
      12.8069     -71.2194       1.2209530       1.8871380
      12.3042     -71.0653      -3.4833212       2.0458505
      11.0314     -70.8929      -13.892183       2.2756957
      10.8632     -70.7817      -14.625930       2.3975012
      11.4446     -70.7916      -10.089095       2.3510727
      11.0978     -70.8489      -13.125443       2.3146064
      11.3492     -71.0137      -11.853215       2.1352345
      10.5055     -70.6369      -16.506391       2.5679701
      10.1740     -70.5655      -18.441302       2.6667945
      9.05994     -71.3901      -34.817347       2.0452405
      8.45337     -71.5103      -41.236750       2.0547315
      8.92683     -71.4493      -36.740640       2.0175236
      8.96913     -71.3968      -35.613955       2.0548168
      8.65270     -71.0446      -33.218649       2.4133830
      8.87677     -70.9592      -30.728367       2.4545093
      8.88965     -70.9554      -30.599297       2.4559964
      8.60892     -71.0936      -34.104689       2.3775983
      8.44612     -70.9869      -33.922936       2.4976530
      8.36180     -70.8083      -32.513301       2.6688298
      8.35392     -70.8554      -33.056442       2.6283812
      8.77538     -70.8690      -30.466441       2.5509900
      9.48011     -70.8085      -25.072398       2.5100609
      9.33984     -70.6229      -24.505540       2.7016148
      9.58149     -70.9088      -25.238178       2.4035470
      10.1127     -71.2720      -24.664676       1.9980424
      9.72713     -71.0315      -25.307903       2.2706914
      9.85771     -71.2614      -26.704801       2.0404326
      10.1523     -71.2904      -24.523807       1.9760092
      9.88420     -70.8311      -22.358396       2.4409386
      9.86872     -70.8374      -22.522548       2.4366915
      9.40055     -71.1146      -28.663007       2.2375330
      9.22605     -70.9292      -27.985631       2.4314636
      9.44372     -71.4058      -31.991503       1.9693309
      9.53636     -71.5343      -33.135929       1.8417560
      9.96075     -71.4581      -28.277910       1.8460480
      9.54899     -71.7097      -36.039364       1.6886353
      9.41678     -71.5523      -34.447437       1.8456355
      9.70087     -71.4284      -30.151387       1.9101878
      9.35155     -71.1074      -28.951530       2.2510253
      9.50609     -71.3078      -30.155626       2.0473641
      9.76161     -71.1556      -26.309683       2.1508222
      9.92123     -71.2572      -26.125882       2.0360278
      10.5337     -71.3387      -21.614529       1.8864676
      10.7448     -71.1397      -17.927525       2.0569880
      10.7698     -71.1166      -17.532619       2.0771369
      10.7680     -71.2442      -18.573786       1.9534978
      10.3564     -71.3027      -22.854099       1.9403634
      10.9872     -71.5013      -18.832183       1.6844286
      10.5124     -71.6424      -25.519331       1.6033470
      10.2722     -71.7094      -29.046583       1.5743833
      10.7255     -72.0545      -30.535166       1.1994358
      11.1143     -72.0162      -24.471321       1.1814692
      10.3006     -71.8278      -30.842495       1.4641832
      10.5216     -71.6655      -25.759759       1.5807191
      10.1206     -71.9140      -34.535302       1.4175582
      9.30674     -71.6657      -37.348256       1.7681991
      8.70277     -71.4400      -38.274302       2.0654146
      8.68069     -71.5122      -39.617925       2.0098618
      9.43036     -71.9311      -41.788760       1.5290986
      9.92450     -72.0645      -40.262162       1.3277694
      9.73725     -72.0134      -40.866801       1.4043113
      9.70726     -71.9233      -38.983481       1.4825951
      10.1228     -71.7669      -31.583463       1.5451939
      9.67078     -71.7545      -35.772191       1.6296869
      9.68385     -71.6682      -34.059573       1.7013920
      8.52886     -71.9306      -49.195211       1.7187551
      9.28413     -71.9323      -43.135707       1.5571341
      8.57342     -72.2394      -57.294483       1.5042155
      8.44783     -72.1469      -55.428503       1.5920685
      8.66636     -72.0319      -50.704213       1.6167228
      8.62338     -71.9795      -49.688038       1.6630167
      7.91270     -72.0839      -57.207557       1.7620957
      8.23127     -71.8662      -49.818471       1.8309180
      8.01662     -71.6396      -46.574329       2.0431628
      7.48500     -71.6001      -49.179713       2.1882257
      7.47531     -71.6415      -50.012164       2.1606317
      7.07198     -71.8437      -56.369942       2.1188892
      7.45878     -71.7898      -53.065720       2.0613318
